item_id,A_statement,notA_statement,antonym_statement,ground_truth_A,ground_truth_notA,ground_truth_antonym,antonym_type,statement_type
1,The Earth orbits the Sun.,The Earth does not orbit the Sun.,The Sun orbits the Earth.,TRUE,FALSE,FALSE,contradictory,universal_truth
2,Water boils at 100°C at sea level.,Water does not boil at 100°C at sea level.,Water boils at 0°C at sea level.,TRUE,FALSE,FALSE,contrary,universal_truth
3,Photosynthesis produces oxygen.,Photosynthesis does not produce oxygen.,Photosynthesis consumes oxygen.,TRUE,FALSE,FALSE,contradictory,universal_truth
4,The human heart has four chambers.,The human heart does not have four chambers.,The human heart has two chambers.,TRUE,FALSE,FALSE,contrary,universal_truth
5,Mammals are warm-blooded animals.,Mammals are not warm-blooded animals.,Mammals are cold-blooded animals.,TRUE,FALSE,FALSE,contrary,universal_truth
6,Light travels faster than sound.,Light does not travel faster than sound.,Sound travels faster than light.,TRUE,FALSE,FALSE,contradictory,universal_truth
7,Plants convert sunlight into energy.,Plants do not convert sunlight into energy.,Plants convert moonlight into energy.,TRUE,FALSE,FALSE,contrary,universal_truth
8,The Moon has no atmosphere.,The Moon does have an atmosphere.,The Moon has a thick atmosphere like Earth.,TRUE,FALSE,FALSE,contrary,universal_truth
9,DNA contains genetic information.,DNA does not contain genetic information.,DNA contains nutritional information.,TRUE,FALSE,FALSE,contrary,universal_truth
10,Gravity causes objects to fall downward.,Gravity does not cause objects to fall downward.,Gravity causes objects to float upward.,TRUE,FALSE,FALSE,contradictory,universal_truth
11,The Amazon is the largest rainforest.,The Amazon is not the largest rainforest.,The Sahara is the largest rainforest.,TRUE,FALSE,FALSE,contrary,universal_truth
12,Human blood is red due to hemoglobin.,Human blood is not red due to hemoglobin.,Human blood is blue due to hemoglobin.,TRUE,FALSE,FALSE,contrary,universal_truth
13,The Pacific Ocean is the largest ocean.,The Pacific Ocean is not the largest ocean.,The Atlantic Ocean is the largest ocean.,TRUE,FALSE,FALSE,contrary,universal_truth
14,Birds have feathers.,Birds do not have feathers.,Birds have fur.,TRUE,FALSE,FALSE,contrary,universal_truth
15,The Nile is the longest river.,The Nile is not the longest river.,The Mississippi is the longest river.,TRUE,FALSE,FALSE,contrary,universal_truth
16,Metals conduct electricity.,Metals do not conduct electricity.,Metals block all electricity.,TRUE,FALSE,FALSE,contradictory,universal_truth
17,The human skeleton has 206 bones.,The human skeleton does not have 206 bones.,The human skeleton has 300 bones.,TRUE,FALSE,FALSE,contrary,universal_truth
18,Water expands when it freezes.,Water does not expand when it freezes.,Water contracts when it freezes.,TRUE,FALSE,FALSE,contrary,universal_truth
19,The Sun is a star.,The Sun is not a star.,The Sun is a planet.,TRUE,FALSE,FALSE,contrary,universal_truth
20,Insects have six legs.,Insects do not have six legs.,Insects have eight legs.,TRUE,FALSE,FALSE,contrary,universal_truth
21,Mount Everest is the highest mountain.,Mount Everest is not the highest mountain.,Mount Kilimanjaro is the highest mountain.,TRUE,FALSE,FALSE,contrary,universal_truth
22,Most plants need sunlight to grow.,Most plants do not need sunlight to grow.,Most plants need darkness to grow.,TRUE,FALSE,FALSE,contrary,universal_truth
23,The human brain controls thinking.,The human brain does not control thinking.,The human heart controls thinking.,TRUE,FALSE,FALSE,contrary,universal_truth
24,Glass is transparent to visible light.,Glass is not transparent to visible light.,Glass is opaque to visible light.,TRUE,FALSE,FALSE,contradictory,universal_truth
25,Whales are mammals not fish.,Whales are not mammals they are fish.,Whales are reptiles not mammals.,TRUE,FALSE,FALSE,contrary,universal_truth
26,The human body has five senses.,The human body does not have five senses.,The human body has three senses.,TRUE,FALSE,FALSE,contrary,universal_truth
27,Chlorophyll makes plants green.,Chlorophyll does not make plants green.,Chlorophyll makes plants red.,TRUE,FALSE,FALSE,contrary,universal_truth
28,The Earth rotates on its axis.,The Earth does not rotate on its axis.,The Earth remains stationary in space.,TRUE,FALSE,FALSE,contradictory,universal_truth
29,Dinosaurs were reptiles.,Dinosaurs were not reptiles.,Dinosaurs were mammals.,TRUE,FALSE,FALSE,contrary,universal_truth
30,Sound needs a medium to travel.,Sound does not need a medium to travel.,Sound travels fastest in a vacuum.,TRUE,FALSE,FALSE,contradictory,universal_truth
31,The human liver filters blood.,The human liver does not filter blood.,The human kidneys filter all blood without the liver.,TRUE,FALSE,FALSE,contrary,universal_truth
